"Sygnatura czasowa","Jak często korzystasz ze sztucznej inteligencji?","Jak oceniasz wpływ sztucznej  inteligencji na twoje życie codzienne? (Jeśli nie korzystasz z narzędzi AI, pomiń to pytanie)","Do jakich celów używasz sztucznej inteligencji?","Twój obecny etap edukacji:","Czy obecnie jesteś zatrudniony/a lub wykonujesz pracę zarobkową?","Czy obecnie jesteś zatrudniony/-a lub wykonujesz pracę zarobkową?","Na jakim stanowisku pracujesz?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe obawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Czym się zajmujesz zawodowo?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe objawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Na jakim kierunku studiujesz? (Jeśli nie jesteś studentem/studentką, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoją edukację?","Jeśli korzystasz ze sztucznej inteligencji w edukacji, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoje plany dotyczące przyszłego kierunku studiów/przyszłej kariery?","Czy obawiasz się, że sztuczna inteligencja może w przyszłości zastąpić twoją pracę lub karierę zawodową?","Czy uważasz, że korzystanie z AI w edukacji/pracy powinno być ograniczane lub kontrolowane przez szkoły/uczelnie/firmy?","Czy boisz się, że AI może negatywnie wpłynąć na jakość edukacji?","Czy uważasz, że zbyt częste korzystanie z AI może osłabiać kreatywność?","Czy uważasz, że jesteś w pewnym stopniu uzależniony/a od narzędzi opartych na sztucznej inteligencji?","Jeśli na poprzednie pytanie odpowiedziałeś/-aś twierdząco, czy chciał(a)byś ograniczyć korzystanie z narzędzi AI? (W przeciwnym przypadku pomiń to pytanie)","Czy brak dostępu do narzędzi AI utrudniłby Ci naukę, pracę lub codzienne zadania?","Jakie widzisz korzyści i zagrożenia związane z rozwojem sztucznej inteligencji?"
"2025/05/21 11:54:16 AM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Rozrywka (np. chatboty, gry);Wsparcie w podejmowaniu decyzji","Szkoła średnia","Nie","","","","","","","","","","","","","4","lekcje","3","3","3","3","3","3","3","3",""
"2025/05/21 11:54:24 AM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła średnia","Tak","","social media menadżer ","5","tworzenie tekstów do grafik ","Etyczne wykorzystanie sztucznej inteligencji","5","","","","","","","3","","3","4","3","4","4","4","4","4",""
"2025/05/21 11:55:02 AM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Szkoła średnia","Nie","","","","","","","","","","","","","3","do zadań ","3","3","3","3","5","5","3","4","ogłupienie ludzi  "
"2025/05/21 11:55:17 AM EEST","Raz w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła średnia","Nie","","","","","","","","","","","","","4","","3","3","3","4","4","2","","2",""
"2025/05/21 11:57:52 AM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Lekarski 😭","5","Notatki, przygotowanie prezentacji, tlumaczenie zagadnien","5","2","3","1","4","2","","5",""
"2025/05/21 11:58:36 AM EEST","Raz w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biochemia","2","","4","1","3","4","5","2","","1",""
"2025/05/21 11:58:46 AM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","2","Rozwiązywanie zadań i tłumaczenie pojęć ","2","2","3","3","5","3","","3","Ludzie głupsi i leniwi ale pomaga to w codziennym życiu powinno to być też regulowane żeby treści pornograficzne nie były tworzone wbrew osobom dotyczących"
"2025/05/21 11:59:37 AM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","Media Studies","2","Pomóc w zrozumieniu konceptów, materiałów ","3","2","4","5","5","4","4","3","Oprócz zagrożeń związanych ze środowiskiem (ograniczony dostęp do wody, większe zajmowanie wolnej przestrzeni przez AI data centers), ograniczenie kreatywności i umiejętności samodzielnego myślenia. Z korzyści, rozwój technologii pomagającym np. osobom z niepełnosprawnością "
"2025/05/21 12:01:17 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biofizyka molekularna i komórkowa ","4","Używam głównie do tłumaczenia zadań z fizyki, żeby zrozumieć o co chodzi, dlaczego otrzymuję błędne wyniki. AI pomagam sobie też w zrozumieniu teorii głównie z fizyki, czy matematyki. Wykorzystuje też to narzędzie do nauki programowania lub pomocy w napisaniu kodu. Czasami jak mam bardzo mało czasu zdarza mi się wrzucić artykuł naukowy, żeby chat mi go streścił, albo ułożył punkty do prezentacji.","3","2","4","5","5","5","5","5","Używanie AI w dużym stopniu przyspiesza moją pracę i naukę, jednak zauważam u siebie że przez to stałam się bardziej leniwa i szybciej się frustruje przy samodzielnej nauce jeśli od razu nie udaje mi się rozwiązać problemu, lub kiedy zajmuje mi to zbyt dużo czasu."
"2025/05/21 12:02:00 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Generowanie grafik / obrazów","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Lekarski","5","","3","2","1","3","3","3","2","5",""
"2025/05/21 12:02:13 PM EEST","Codziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry);Wsparcie w podejmowaniu decyzji","Między szkołą średnią a studiami/szkołą wyższą","Tak","","Dostawca","3","","Zmniejszenie znaczenia kompetencji pracownika;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","1","","","","","","Transport i Logistyka","4","W celach pomocniczych ","3","1","3","4","5","3","","5","Jeśli nie będziemy o jeden krok dalej od sztucznej inteligencji, może się to skończyć poważną apokalipsą"
"2025/05/21 12:02:15 PM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Generowanie grafik / obrazów","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","lekarski","5","pisanie prezentacji, wykonywanie notatek","4","3","4","3","5","3","","4",""
"2025/05/21 12:03:07 PM EEST","Kilka razy w miesiącu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Tak","","Korepetytor","3","Pomoc w tworzeniu materiałów dydaktycznych","Zmniejszenie znaczenia kompetencji pracownika;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","3","","","","","","","5","Pomoc w nauce","2","5","5","4","4","2","","3",""
"2025/05/21 12:03:35 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych","Studia/Szkoła wyższa","Tak","","w kawiarni slay","3","","Brak","1","","","","","","bioinformatyka","2","do nauki, rozwiazywania zadan i tlumaczenia zagadnień ","3","4","3","4","5","4","4","4",""
"2025/05/21 12:04:33 PM EEST","Raz w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biologia","4","W celu wyjaśnienia pojęć, przepisywania tekstów i znajdowania zagadnień ciężko dostępnych w wyszukiwarkach ","3","1","5","5","5","1","","4",""
"2025/05/21 12:04:50 PM EEST","Codziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","lekarski ","5","","5","1","1","1","3","5","3","5",""
"2025/05/21 12:05:11 PM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Tak","","Sprzedawca ","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych","1","","","","","","Analityka chemiczna ","4","","3","3","3","2","2","3","3","3",""
"2025/05/21 12:05:35 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Analityka chemiczna","3","Wyjaśnianie zagadnień","3","1","3","4","5","3","3","4",""
"2025/05/21 12:05:45 PM EEST","Rzadziej niż raz w miesiącu ","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Tak","","Stażysta ","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","3","","","","","","Przekładoznawstwo ","4","Pomoc w wyszukiwaniu materiałów do pracy dyplomowej. Wyjaśnianie terminów ","2","4","5","5","5","2","","2","Korzyści: jeszcze szybszy dostep do informacji 
Zagrożenia: podowanie przez AI informacji nieprawdziwych. Zbytnie poleganie na AI w wielu aspektach życia zawodowego lub edukacji "
"2025/05/21 12:06:12 PM EEST","Codziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Generowanie grafik / obrazów","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Kierunek lekarski","4","Wyjaśnianie zagadnień, szukanie informacje","4","1","3","3","3","2","","4",""
"2025/05/21 12:07:10 PM EEST","Codziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","Korepetytor ","5","Generowanie zadań niekiedy","Zmniejszenie znaczenia kompetencji pracownika","2","","","","","","Farmacja","5","wyjaśnienie zagadnień ","5","1","3","3","5","3","4","4",""
"2025/05/21 12:07:42 PM EEST","Kilka razy w miesiącu","3","Tłumaczenie treści;Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Tak","","Tłumacz freelancer","4","pomoc w tłumaczeniu i sprawdzaniu interpunkcji, stylu czy gramatyki.","Utrata pracy;Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika;Etyczne wykorzystanie sztucznej inteligencji","4","","","","","","Przekładoznawstwo","2","","2","4","4","4","5","1","","2","Na pewno ułatwiają życie, przyspieszają wiele czynności i radzą sobie dobrze w żmudnych czynnościach, jednak trzeba ich używać odpowiedzialnie."
"2025/05/21 12:08:21 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biotechnologia","4","Szukanie artykułów lub informacji potrzebnych do mojej pracy lub nauki. Przewidywanie struktury białek.","5","1","2","4","5","1","","4","Zdecydowanymi zaletami są: 
- Ułatwienie w szukaniu literatury lub wiedzy powiązanej ze studiowaną tematyką.
- Wykorzystywanie narzędzi AI do wstępnego oszacowania wyników pracy.
- Szukanie sposobów na rozwiązanie problemu (jeżeli ktoś wcześniej napotkał podobny problem).

Wadami natomiast są:
- Nie-krytyczne poleganie na sztucznej inteligencji niesie ryzyko błędnej interpretacji danych, gdyż bardzo często AI błędnie podaje informacje/streszcza artykuły lub uznaje nieodpowiednie źródła za wiarygodne."
"2025/05/21 12:08:39 PM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","-","3","","Brak","1","","","","","","bioinformatyka","5","pomoc w nauce, programowanie","4","3","4","4","5","5","3","5",""
"2025/05/21 12:09:37 PM EEST","Kilka razy w miesiącu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła średnia","Nie","","","","","","","","","","","","","5","Aby pomógł mi zrozumieć dane zagadnienie ","4","5","4","5","5","1","","3",""
"2025/05/21 12:09:53 PM EEST","Kilka razy w miesiącu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Prawo💅","4","Aby sprawdzić poprawność swoich odpowiedzi na zadania albo sprawdzić informacje na temat zagadnień, których nie ma w podręczniku","2","5","5","5","5","3","","5","Jest to ułatwienie dla pozyskiwania wiedzy, ale także zagrożenie samodzielnego myślenia"
"2025/05/21 12:10:11 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","biologia kryminalistyczna","3","do nauki","1","3","4","5","5","3","3","4",""
"2025/05/21 12:10:16 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Między szkołą średnią a studiami/szkołą wyższą","Tak","","Delivery Debil ","2","","Brak","1","","","","","","Ekonomia ","3","W celu tworzenia prezentacji, tłumaczeniu niektórych pojęć ","3","1","3","4","4","3","","3","Korzyść: Dosłownie w chwilę można poznać odpowiedź na każde nurtujące pytanie 
Zagrożenie: Korzystanie głównie przez dzieci, młodzież przez co w przyszłości mogą mieć problem z zrobieniem czegoś samodzielnie bez używania Al "
"2025/05/21 12:10:41 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry)","Szkoła średnia","Nie","","","","","","","","","","","","","4","Ściąganie na sprawdzianach, prace domowe itp","5","1","5","5","5","2","5","3","Przejęcia pracy m.in. artystów, zanik zdolności do krytycznego i samodzielnego myślenia"
"2025/05/21 12:11:12 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Behawiorystyka zwierząt ","2","W celu pisania rozprawek albo rozwiązywania testów czy szukania informacji ","2","1","4","4","4","3","5","3","Korzyści to to że jest to szybkie rozwiązania na jakieś bardzo mało znaczące zadania a zagrożenia ze na moim przykładzie ciężko mi napisać coś sensownego "
"2025/05/21 12:11:25 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Programowanie i analiza danych;Generowanie grafik / obrazów","Studia/Szkoła wyższa","Tak","","Doradca sportowy ","3","","Brak","3","","","","","","Elektronika i telekomunikacja ","5","Wsparcie przy nauce","4","2","2","3","5","2","","4",""
"2025/05/21 12:11:46 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biofizyka molekularna i komórkowa ","3","W celu streszczeń wykładów i tłumaczenia zagadnień ","4","1","2","4","5","4","2","3",""
"2025/05/21 12:11:52 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Generowanie grafik / obrazów","Szkoła średnia","Nie","","","","","","","","","","","","","4","poznanie sposobu na rozwiązanie danego zadania, stworzenie notatki w celu pomocy w nauce, uporządkowanie potrzebny mi informacji do nauki","3","1","2","2","4","1","","4",""
"2025/05/21 12:11:58 PM EEST","Kilka razy w miesiącu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","4","W celu szybszego wyszukania różnych informacji ","4","1","4","5","5","2","","3","W przyszłości społeczeństwo będzie polegać jedynie na sztucznej inteligencji, ludzie przestaną się uczyć i ai zacznie zastępować wiele pracowników "
"2025/05/21 12:12:50 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biologia kryminalostyczna ","4","Szukanie informacji i ich streszczanie","3","1","3","4","3","2","","3","Korzyści-prostszy dostęp do informacji zagrożenia-zastapienie ludzi AI jeśli chodzi o miejsca pracy "
"2025/05/21 12:12:53 PM EEST","Raz w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biologia","2","do nauki, robienia fiszek, notatek","3","2","5","5","5","2","","2","korzysci: automatyzacja prostych zadan
zagrozenia: zastąpienie waznych pozycji i zwolnienia"
"2025/05/21 12:13:05 PM EEST","Codziennie","4","Rozrywka (np. chatboty, gry)","Zakończyłem/-am swoją edukację","","Tak","","","","","","Asystent ds. Zakupów ","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych","2","","","","","","4","4","3","3","3","1",""
"2025/05/21 12:14:52 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Generowanie grafik / obrazów","Szkoła średnia","Nie","","","","","","","","","","","","","5","Do prac domowych ","3","2","2","4","5","3","2","3","Pomóc w nauce, utrata samodzielności "
"2025/05/21 12:14:53 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Programowanie i analiza danych;Generowanie grafik / obrazów","Studia/Szkoła wyższa","Tak","","Wychowawca na koloniach","3","","Brak","1","","","","","","Biofizyka komórkowa i molekularna","5","W celu tłumaczenia treści których nie rozumiem","5","1","3","2","4","3","2","3",""
"2025/05/21 12:16:19 PM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Rozrywka (np. chatboty, gry);Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Lekarski ","5","Sprawdzanie indformacji","5","2","3","3","5","4","2","5","Rozwój "
"2025/05/21 12:16:52 PM EEST","Kilka razy w miesiącu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Tak","","stażystka w dziale księgowości","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Etyczne wykorzystanie sztucznej inteligencji","1","","","","","","Finanse Biznesu i Rachunkowość","4","pomoc w nauce czasami","4","1","5","5","5","1","","1","korzyści: szybsze szukanie danych
zagrożenia: brak szacunku do praw autorskich, pogorszenie pozycji dyplomu uczelni wyższych, szerzenie dezinformacji"
